Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
1.035,35.954,1.205,59.720,1.408,1.516,0.597,5.029,1,1,0.874
0.848,31.593,2.557,157.185,1.204,2.982,0.756,24.942,1,1,0.886
0.832,34.761,4.344,170.759,0.835,1.124,1.120,39.268,0,0,0.879
0.754,28.852,1.076,120.673,1.019,2.184,0.768,13.636,1,0,0.857
0.711,33.864,8.746,220.102,0.997,0.629,0.824,21.238,0,1,0.894
0.794,33.581,9.699,242.065,0.615,0.868,1.641,13.116,0,1,0.873
0.801,32.284,5.123,86.091,1.570,7.228,1.513,28.633,0,1,0.905
0.711,32.543,1.711,231.606,0.734,0.645,0.338,6.460,0,0,0.880
0.761,33.106,3.426,83.906,1.128,15.470,0.515,6.589,0,1,0.874
0.702,29.698,10.486,104.081,1.055,4.062,1.166,3.532,0,1,0.869
0.853,35.082,0.862,84.722,1.643,1.290,0.902,4.581,0,1,0.902
0.771,36.738,2.059,113.315,1.445,1.483,1.364,16.867,0,0,0.882
0.738,29.703,1.058,264.863,0.889,1.816,1.657,41.147,0,1,0.912
0.729,37.141,4.126,278.295,0.824,0.446,0.413,13.003,0,0,0.887
0.778,38.383,1.473,259.123,0.813,1.328,1.396,2.791,0,1,0.882
0.709,32.919,5.732,191.601,1.087,1.571,1.265,15.913,0,1,0.897
0.779,36.856,1.014,126.975,1.271,10.025,1.669,7.816,0,1,0.888
0.845,30.785,4.350,74.469,1.538,0.702,0.771,17.007,0,1,0.904
0.941,30.744,1.713,137.792,1.132,0.819,0.249,25.156,1,1,0.888
0.800,32.479,7.548,142.299,0.802,0.414,1.231,40.972,0,0,0.883
0.808,34.607,1.512,129.924,1.760,0.402,0.530,6.357,1,1,0.901
0.793,32.117,5.075,156.003,0.790,1.619,0.491,1.220,0,1,0.873
0.874,26.891,1.963,202.948,0.759,0.752,0.434,52.683,0,1,0.917
0.826,38.062,2.597,154.264,0.661,0.434,1.499,4.149,0,0,0.845
0.945,29.994,2.755,76.662,2.007,0.438,0.289,29.445,1,1,0.915
0.918,37.444,4.843,56.092,2.183,0.400,0.574,25.906,0,0,0.915
1.018,32.120,2.612,49.985,1.855,3.381,0.955,36.205,0,1,0.932
0.804,38.174,4.324,156.874,0.891,4.404,0.729,0.532,0,1,0.869
0.855,32.422,8.143,288.386,0.614,0.516,1.351,8.952,1,1,0.865
0.944,36.507,4.361,105.312,1.184,0.417,1.360,4.882,1,1,0.870
0.930,32.513,0.414,133.852,1.095,0.404,1.501,33.506,0,1,0.908
0.819,34.136,3.388,107.663,1.575,0.452,1.437,15.983,0,1,0.911
0.831,37.236,5.298,104.552,1.294,1.883,0.286,4.007,0,1,0.887
0.705,33.329,8.322,95.855,1.855,3.793,0.987,6.229,0,1,0.904
0.896,30.151,2.173,123.385,0.689,5.097,1.757,12.968,0,1,0.884
0.964,31.267,3.773,89.858,1.310,0.413,0.552,13.259,1,1,0.886
0.934,29.093,2.945,109.710,1.371,1.040,0.432,64.403,0,1,0.939
0.703,36.764,1.616,150.991,1.469,1.264,0.848,13.305,0,0,0.896
1.134,25.276,2.683,57.999,1.411,1.065,0.323,71.166,0,1,0.964
0.992,32.967,3.603,53.947,2.010,0.410,0.724,29.214,0,1,0.935
0.746,34.227,1.289,115.507,1.755,1.972,1.964,5.068,0,1,0.915
0.758,35.098,1.966,237.838,0.712,19.262,1.166,13.014,0,1,0.884
0.708,32.863,4.527,128.163,1.527,0.440,1.493,8.204,1,0,0.873
0.859,38.155,2.140,148.040,0.953,4.400,0.104,6.445,1,0,0.847
0.756,34.181,4.068,126.991,1.382,0.417,0.726,1.041,0,1,0.897
0.720,37.653,9.227,280.068,0.826,10.297,0.271,4.122,1,0,0.864
0.700,34.094,3.776,172.455,0.989,13.517,0.237,2.326,0,1,0.886
0.912,28.891,0.920,140.665,1.242,3.055,0.323,72.179,0,1,0.937
0.781,36.226,3.700,124.209,0.750,6.198,0.230,7.020,0,0,0.850
0.742,34.691,1.900,286.704,0.943,0.860,1.335,42.336,0,0,0.912
0.719,36.804,3.252,178.753,1.027,12.234,1.762,1.081,0,1,0.885
0.730,34.693,1.617,190.798,0.743,9.744,0.235,7.432,0,0,0.872
0.835,37.465,7.582,124.568,0.997,0.490,0.600,4.463,0,1,0.875
0.743,35.597,6.085,184.927,0.935,0.461,0.415,17.873,0,0,0.880
0.882,34.957,3.061,72.299,1.772,1.352,1.393,7.368,0,1,0.912
0.898,31.232,0.883,65.520,1.716,0.792,1.725,11.521,0,1,0.913
0.749,37.069,10.483,86.267,1.292,0.726,1.844,4.935,0,0,0.858
0.706,31.130,3.480,276.420,0.743,1.778,0.372,25.559,0,0,0.905
0.786,35.186,8.875,281.587,0.663,0.956,1.367,11.991,0,1,0.884
0.734,34.811,5.949,316.986,0.755,17.641,0.320,20.264,1,0,0.883
0.769,38.355,6.604,174.762,0.813,1.851,0.147,5.953,0,0,0.859
0.739,35.908,8.175,112.263,1.719,1.748,1.086,3.829,0,1,0.907
0.755,32.275,4.191,208.999,0.892,5.001,1.786,15.574,1,0,0.874
0.707,33.770,6.373,307.340,0.693,14.465,1.777,6.689,0,1,0.896
0.716,36.010,4.011,267.704,1.027,0.426,1.203,15.267,0,1,0.910
0.715,33.312,4.654,261.081,0.874,6.584,1.198,8.274,1,0,0.881
0.829,32.652,1.494,208.743,0.743,1.140,0.561,6.275,0,1,0.889
0.780,31.260,2.817,286.611,0.683,9.843,0.266,16.733,1,0,0.885
0.892,35.600,7.164,139.123,1.203,0.993,0.961,37.236,1,0,0.883
0.871,30.685,1.898,96.333,0.974,7.062,0.344,13.292,0,1,0.894
0.921,37.067,2.173,44.861,1.787,8.549,0.755,1.463,0,1,0.904
0.931,30.452,2.265,102.209,0.648,4.011,0.997,6.430,0,1,0.881
0.881,28.362,3.213,132.152,0.904,7.258,1.209,2.895,1,1,0.876
0.875,33.430,4.809,168.757,0.980,0.462,0.611,33.571,0,1,0.908
0.854,33.243,1.461,52.109,1.754,9.863,1.596,1.612,0,1,0.902
0.827,33.120,4.950,79.229,1.639,0.483,0.181,3.060,0,1,0.905
0.775,38.095,5.644,148.765,0.887,0.458,0.428,2.502,0,0,0.859
0.771,32.027,5.594,127.536,1.571,5.125,0.521,10.515,1,1,0.894
0.811,34.150,1.656,111.206,1.392,0.402,1.091,3.638,1,0,0.868
0.802,34.633,3.933,177.480,0.694,4.005,0.407,17.931,0,0,0.873
0.832,35.395,2.513,153.961,0.829,1.010,1.326,19.652,0,0,0.876
0.785,29.013,8.525,169.547,0.932,3.819,0.685,1.021,1,1,0.874
0.786,31.656,8.537,218.898,0.661,1.860,1.939,6.587,0,1,0.884
0.806,33.958,6.644,160.027,0.878,2.395,0.359,8.917,1,0,0.856
0.817,31.394,5.794,94.019,1.911,1.027,1.436,4.758,1,1,0.903
0.736,33.299,6.069,191.656,0.696,0.451,0.568,3.233,0,0,0.870
0.717,34.832,14.400,100.662,1.382,7.612,1.593,6.436,0,1,0.884
0.736,36.939,4.161,291.329,0.747,0.567,0.671,1.918,0,0,0.892
0.759,37.102,1.669,268.077,0.917,4.120,1.346,0.821,1,0,0.881
0.763,35.075,5.714,161.146,1.106,0.400,0.377,1.554,0,1,0.893
0.816,32.978,5.834,335.370,0.765,1.338,0.626,39.042,1,0,0.898
0.751,35.866,11.925,213.695,0.840,0.547,0.394,0.609,1,0,0.853
0.845,33.629,1.043,106.895,1.264,4.952,2.094,13.574,1,0,0.869
0.794,30.794,3.809,72.346,2.667,1.298,1.437,31.389,0,1,0.952
0.737,27.226,4.232,152.839,0.796,1.902,0.826,0.456,1,0,0.862
0.885,34.511,4.775,105.780,0.719,0.419,1.029,23.518,0,0,0.870
0.741,35.452,9.690,102.544,1.090,1.407,1.216,7.664,0,0,0.863
0.854,28.783,5.407,65.850,1.615,1.486,0.890,21.508,0,1,0.919
